,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_205,49.3799999999992,0.0,0,2531,0,0,0,40559,64688,152011822,113912287,28881117,288677,52668033,1130040,476925,543
run_206,50.090000000000146,0.06700000000000728,0,2446,0,1,0,41269,63294,162131872,114044260,30056821,282422,52821273,1265484,443153,464
run_207,41.650000000001455,7.86099999999999,0,2435,0,0,0,40676,62624,154088498,104457235,25755457,270247,52452841,1361569,396182,398
run_208,45.14000000000124,4.068000000000097,0,2515,0,0,0,40438,64198,152829511,110546121,27670323,271554,52525524,1204208,443317,426
run_209,45.30999999999949,4.078999999999951,0,2446,0,0,1,40503,63346,155053897,114969184,29571668,283666,52918131,1048741,477466,509
run_210,41.39000000000124,7.844000000000051,0,2517,0,0,2,40586,64118,154466738,104090152,25544675,266102,52365517,1361440,389945,767
run_211,44.80000000000109,4.048999999999978,0,2520,0,0,0,40011,64402,156550756,109348471,27342721,267769,52264383,1435451,396294,443
run_212,45.20000000000073,4.0779999999999745,0,2512,0,0,0,40466,63698,157537880,114845349,29744132,282083,52711291,1014611,503052,596
run_213,49.399999999999636,0.0,0,2528,0,0,0,40485,64430,154979672,105521215,25927107,270998,52234909,1337325,394820,661
run_214,49.29999999999927,0.0,0,2448,0,0,0,40475,63474,152642395,110959600,27929688,268944,52526003,1201262,442437,563
run_215,49.69999999999891,0.051000000000044565,0,2434,0,0,0,40883,62490,153632590,115719831,29657001,287394,52969151,1109876,486742,1041
run_216,41.0,7.822000000000003,0,2448,0,0,0,39911,64032,227792545,102596632,24981158,225714,46643444,1524209,494281,428
run_217,45.400000000001455,4.087000000000103,0,2449,0,0,1,40644,63702,151951798,111170765,27997287,277580,52670696,1208487,444218,894
run_218,49.80000000000109,0.1069999999999709,0,2517,0,0,0,40948,63996,152946181,114272384,29459543,289786,53037544,1121165,469166,1225
run_219,45.600000000000364,4.100999999999999,0,2522,0,0,0,40914,64604,160108601,115317019,30182277,289193,52982166,1024533,522533,1160
run_220,41.5,7.851999999999975,0,2509,0,0,0,40554,63564,153778236,103797192,25464441,263400,52339539,1387826,391210,749
run_221,45.100000000000364,4.067999999999984,0,2528,0,0,0,40377,64456,153508885,110523036,27602806,267018,52426061,1198194,437298,1061
run_222,49.80000000000109,0.10400000000004184,0,2451,0,0,0,40975,63644,152922922,114981666,29731978,285033,53007234,1099230,481264,749
run_223,42.0,7.6030000000000655,0,2494,0,0,0,40813,62456,163629277,116095608,30362233,283571,53191677,956806,532593,995
run_224,45.70000000000073,3.856999999999971,0,2448,0,0,0,40685,63916,152980109,107025892,26523038,270262,52486743,1344817,421562,1001
