,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_96,66.71000000000004,4.19399999999996,0,2725,0,1,7,,,214838708,102378594,18444135,183744,41247159,1739170,271619,6284
run_97,60.80000000000018,4.057000000000016,48,2697,0,0,6,,,196952884,100699964,20626996,185532,46332390,1866159,286969,8429
run_98,57.029999999999745,7.788000000000011,116,2734,0,0,8,,,185629825,99802871,19616552,198740,49335488,1884061,280403,8264
run_99,61.67000000000007,4.1200000000000045,0,2732,0,0,7,,,180183877,101635595,19709879,209679,50557854,2039995,330771,8163
run_100,64.42000000000007,0.028999999999996362,8,2738,0,0,6,,,170392863,98221761,20612017,214661,54453893,1900310,308890,7744
run_101,57.659999999999854,3.83299999999997,0,2736,0,0,6,,,170547965,92636128,19870680,213323,55570125,2023934,325392,1095
run_102,64.22999999999956,0.016999999999995907,0,2730,0,0,7,,,176627411,99517659,19727479,210170,52427332,2022638,330912,5762
run_103,61.599999999999454,4.1129999999999995,0,2730,0,0,7,,,198538526,101081754,20805824,185080,46110780,2064106,332157,7562
run_104,58.8100000000004,3.915999999999997,0,2732,0,0,5,,,184565655,94103579,19834516,202684,52004485,2066082,330385,1228
run_105,59.94999999999982,3.997000000000014,0,2734,0,0,6,,,194310250,99888562,19528485,195387,48630962,2090162,332907,5642
run_106,61.1899999999996,3.6759999999999877,0,2734,0,0,6,,,170267585,100673870,20897417,218908,53261040,1947197,317348,8025
run_107,50.48999999999978,11.735000000000014,0,2730,0,0,6,,,183834874,95709751,20047647,201310,51610498,2054741,321886,1366
run_108,56.81999999999971,7.7690000000000055,0,2738,0,0,7,,,192529000,99896031,19536458,191138,48256904,2090423,321243,6694
run_109,61.599999999999454,4.1159999999999854,0,2736,0,0,7,,,181430704,101453594,19584144,196064,50445411,2052985,331502,8078
run_110,66.31999999999971,0.16900000000003956,0,2749,0,0,6,,,179909759,104219470,19626164,202972,51032906,1805983,277760,8476
run_111,57.25,4.090000000000032,68,2732,0,0,6,,,154372527,101935192,22488095,284538,55655231,1606628,256527,864
