run,bpe_token_time_ms,model_load_time_ms,instructions,cpu_cycles,branch_instr,branch_miss,l1d_access,l1d_miss,l3_access,l3_miss
88,77.636,50.812,12903773,41121212,,79612,20393455,399441,29037,12697
89,35.344,62.7832,9681436,31276040,,8147,24606219,733875,54639,1663
90,35.551,47.959,8436177,34296131,,6082,19181083,599312,49560,16400
91,76.165,47.9658,12139959,42208267,,78322,20126613,358565,23588,12426
92,35.396,51.5979,10047496,31058552,,7930,23948234,704993,49881,3744
93,35.8899,75.9551,9992726,31528992,,8433,24000699,700777,46191,2910
94,54.887,49.856,9165863,40917401,,31714,15419924,420942,38553,17094
95,35.314,49.4141,10005169,30957898,,7868,24029534,705665,49205,3024
96,35.291,51.0391,9574094,31112124,,7996,24678416,748010,50951,1508
97,65.208,52.7891,10336301,42204722,,47325,14497236,432913,30406,16463
98,36.0891,47.02,10463589,33883188,,8211,26931322,768037,46152,1535
99,35.4148,50.4458,10181327,30982918,,8038,23522352,689821,48691,3784
100,55.156,52.126,9002917,41120237,,29239,15442614,415305,42449,16199
101,35.5088,48.6108,10418504,31667093,,8226,26172510,767944,46132,1864
102,35.363,52.5459,9780682,31238283,,8255,24458697,728293,54937,1763
103,69.3591,52.051,13119413,41018742,,78079,20432920,429046,26660,11954
104,37.1101,74.365,10544879,34424418,,8143,22449655,610501,53504,17166
105,35.0381,50.4451,10061023,30089491,,8417,22899466,667790,47143,9769
106,64.8669,50.324,10200644,42723215,,47206,14678353,421147,32446,17214
107,35.0339,52.8469,10206026,30545556,,8240,23167800,675611,47142,5824
108,35.0598,52.0759,9875068,30964190,,7874,22527472,650388,52431,15535
109,66.769,48.8811,10693355,42275965,,48968,14495235,422869,32092,18084
110,35.022,50.7761,9988496,30335135,,7966,22758107,672764,48608,11635
111,35.166,51.2329,9252700,32351735,,8118,21445171,626984,48001,16593
112,75.74,50.989,12943687,41134519,,78909,20419706,418433,30447,13288
113,35.3828,74.3259,9625919,31144874,,8136,24517636,724010,48811,1689
114,35.5229,52.439,9979585,31261855,,8052,24050486,707641,50587,2176
115,65.4839,52.063,9592555,41291602,,50110,14409555,474812,41592,16576
116,35.3511,51.491,9841786,31282688,,8386,24324232,742484,54103,1813
